date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:26:59	15067/15067	---M-Z	200	added ('OK')	text/html	etag:W/%226330107e-3adb%22	https://chandrago.github.io/blog-post-1.html	C:/My%20Web%20Sites/CV%20Project/chandrago.github.io/blog-post-1.html	(from https://chandrago.github.io/)
12:26:59	70062/70062	---M--	200	added ('OK')	image/png	date:Sun,%2018%20Sep%202022%2013:16:52%20GMT	https://i.ibb.co/txdxZph/image.png	C:/My%20Web%20Sites/CV%20Project/i.ibb.co/txdxZph/image.png	(from https://chandrago.github.io/)
12:26:59	94613/94613	---M--	200	added ('OK')	image/png	date:Sun,%2018%20Sep%202022%2012:59:49%20GMT	https://i.ibb.co/s3gyfLR/image.png	C:/My%20Web%20Sites/CV%20Project/i.ibb.co/s3gyfLR/image.png	(from https://chandrago.github.io/)
12:26:59	40361/40361	---M--	200	added ('OK')	image/jpeg	etag:%22v81%22	https://1.bp.blogspot.com/-YYPtbxWdbJA/XKr2Eq3HJII/AAAAAAAAAH8/3tQ_PLQ1hiUWywUNf-gTB-jbItKFhMENgCLcBGAs/s640/1.jpg	C:/My%20Web%20Sites/CV%20Project/1.bp.blogspot.com/-YYPtbxWdbJA/XKr2Eq3HJII/AAAAAAAAAH8/3tQ_PLQ1hiUWywUNf-gTB-jbItKFhMENgCLcBGAs/s640/1.jpg	(from https://chandrago.github.io/)
12:27:00	16457/16457	---M-Z	200	added ('OK')	text/html	etag:W/%226330107e-4049%22	https://chandrago.github.io/blog-post-2.html	C:/My%20Web%20Sites/CV%20Project/chandrago.github.io/blog-post-2.html	(from https://chandrago.github.io/)
12:27:00	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22648c837f-24a3%22	https://chandrago.github.io/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/CV%20Project/chandrago.github.io/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://chandrago.github.io/)
12:27:00	720250/720250	---M--	200	added ('OK')	image/jpeg	etag:%22afd7a-5e2f17ec38c86%22	https://myrepublic.co.id/wp-content/uploads/2019/02/Web-Banner-Blogger-Competition-2.jpg	C:/My%20Web%20Sites/CV%20Project/myrepublic.co.id/wp-content/uploads/2019/02/Web-Banner-Blogger-Competition-2.jpg	(from https://chandrago.github.io/)
12:27:00	89500/89500	---M-Z	200	added ('OK')	application/javascript	etag:W/%226330107e-15d9c%22	https://chandrago.github.io/js/jquery.min.js	C:/My%20Web%20Sites/CV%20Project/chandrago.github.io/js/jquery.min.js	(from https://chandrago.github.io/)
12:27:01	9358/9358	---M-Z	200	added ('OK')	application/javascript	etag:W/%226330107e-248e%22	https://chandrago.github.io/js/modernizr.custom.js	C:/My%20Web%20Sites/CV%20Project/chandrago.github.io/js/modernizr.custom.js	(from https://chandrago.github.io/)
12:27:01	10382/10382	---M-Z	200	added ('OK')	application/javascript	etag:W/%226330107e-288e%22	https://chandrago.github.io/js/animating.js	C:/My%20Web%20Sites/CV%20Project/chandrago.github.io/js/animating.js	(from https://chandrago.github.io/)
